Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
CLGN		ENSG00000153132	Calmegin	4	140388455-140427968	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB020709, HPA048761, HPA058627	Enhanced		Enhanced	Endoplasmic reticulum		Tissue enhanced	Tissue enriched	5	testis: 186.4	heart muscle: 35.6	Cell line enhanced		U-251 MG: 54.9
CLN5		ENSG00000102805	Ceroid-lipofuscinosis, neuronal 5	13	76990660-77019143	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA041788	Approved				Renal cancer:1.52e-9 (favourable)	Expressed in all	Expressed in all			thyroid gland: 127.1	Expressed in all		
CLPS		ENSG00000137392	Colipase	6	35794982-35797344	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA010512	Enhanced					Tissue enriched	Tissue enriched	264	pancreas: 56632.1	ovary: 214.3	Not detected		
CLPSL1	C6orf127, dJ510O8.6	ENSG00000204140	Colipase like 1	6	35781017-35793675	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA073155	Enhanced					Group enriched	Tissue enriched	38	epididymis: 733.4	pancreas: 19.3	Cell line enriched	25	T-47d: 7.9
CLPSL2	C6orf126, dJ510O8.5, UNQ3045	ENSG00000196748	Colipase like 2	6	35776594-35779552	Predicted secreted proteins	Evidence at protein level	HPA043460, HPA051655	Approved		Uncertain	Vesicles		Tissue enhanced	Tissue enriched	703	epididymis: 713.1	seminal vesicle: 1.0	Cell line enriched	6	T-47d: 6.6
CLSTN3	CDHR14, CSTN3, KIAA0726	ENSG00000139182	Calsyntenin 3	12	7129698-7158945	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level						Pancreatic cancer:1.19e-5 (favourable), Renal cancer:4.49e-5 (unfavourable), Breast cancer:5.08e-4 (favourable), Urothelial cancer:8.07e-4 (favourable)	Expressed in all	Tissue enhanced		cerebral cortex: 126.6	parathyroid gland: 40.3	Mixed		
CLU	APOJ, CLI, CLU1, CLU2, KUB1, SGP-2, SP-40, TRPM-2	ENSG00000120885	Clusterin	8	27596917-27615031	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA000572, CAB016253	Enhanced				Thyroid cancer:7.66e-5 (favourable)	Expressed in all	Expressed in all			epididymis: 11170.2	Expressed in all		
CLUL1		ENSG00000079101	Clusterin like 1	18	596988-650334	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB025264, HPA075240	Supported		Approved	Endoplasmic reticulum<br>Plasma membrane		Mixed	Tissue enhanced		prostate: 13.9	thyroid gland: 11.5	Cell line enhanced		Hep G2: 23.4
CMA1		ENSG00000092009	Chymase 1	14	24505353-24508265	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB000363, HPA052634	Enhanced					Mixed	Tissue enhanced		breast: 23.8	esophagus: 11.4	Not detected		
CMPK1	CMPK, UMP-CMPK	ENSG00000162368	Cytidine/uridine monophosphate kinase 1	1	47333797-47378839	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA053730, HPA058604	Approved		Supported	Nucleus	Glioma:8.67e-4 (favourable)	Expressed in all	Expressed in all			small intestine: 169.1	Expressed in all		
CNDP1	CN1, CPGL2, HsT2308, MGC10825	ENSG00000150656	Carnosine dipeptidase 1	18	74534440-74587212	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA008933	Enhanced					Group enriched	Group enriched	12	cerebral cortex: 101.7;liver: 23.0	duodenum: 5.1	Cell line enriched	68	U-266/84: 57.1
CNGA4	CNCA2, CNG5, CNGB2, OCNC2, OCNCb	ENSG00000132259	Cyclic nucleotide gated channel alpha 4	11	6234765-6244429	Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level						Endometrial cancer:1.48e-4 (favourable)	Tissue enriched	Group enriched	9	fallopian tube: 27.9;testis: 10.5	lung: 2.1	Not detected		
CNPY2	Cnpy2, HP10390, TMEM4, ZSIG9	ENSG00000257727	Canopy FGF signaling regulator 2	12	56309842-56316336	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA038465, HPA038466	Supported		Supported	Cytosol	Renal cancer:2.32e-8 (unfavourable), Pancreatic cancer:8.37e-4 (favourable)	Expressed in all	Expressed in all			epididymis: 87.4	Expressed in all		
CNPY3	CAG4A, TNRC5	ENSG00000137161	Canopy FGF signaling regulator 3	6	42929192-42939287	Predicted secreted proteins	Evidence at protein level	HPA016560	Uncertain				Renal cancer:9.85e-6 (unfavourable), Colorectal cancer:3.03e-5 (unfavourable)	Expressed in all	Expressed in all			spleen: 103.1	Expressed in all		
CNPY4	MGC40499, PRAT4B	ENSG00000166997	Canopy FGF signaling regulator 4	7	100119613-100125511	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA014166, HPA025240	Uncertain		Approved	Vesicles	Renal cancer:3.59e-5 (unfavourable), Liver cancer:3.99e-4 (unfavourable)	Expressed in all	Mixed			endometrium: 34.8	Expressed in all		
CNTFR		ENSG00000122756	Ciliary neurotrophic factor receptor	9	34551432-34590140	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB025310	Approved					Tissue enhanced	Tissue enhanced		adipose tissue: 62.6;cerebral cortex: 53.4	spleen: 27.5	Group enriched	9	AF22: 107.8;SH-SY5Y: 55.3
CNTN1	F3, GP135	ENSG00000018236	Contactin 1	12	40692442-41072418	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB025200, HPA070467	Enhanced				Urothelial cancer:3.75e-4 (unfavourable)	Tissue enhanced	Tissue enhanced		cerebral cortex: 225.5	ovary: 65.6	Cell line enhanced		A549: 218.0;HaCaT: 38.4;SCLC-21H: 85.1;SH-SY5Y: 46.5
CNTN2	AXT, TAG-1, TAX, TAX1	ENSG00000184144	Contactin 2	1	205042937-205078284	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA001397, HPA012497	Approved					Tissue enriched	Tissue enriched	7	cerebral cortex: 81.7	testis: 11.2	Group enriched	7	NTERA-2: 3.8;SCLC-21H: 11.1
CNTN3	BIG-1, PANG	ENSG00000113805	Contactin 3	3	74262568-74521140	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA003341	Approved					Mixed	Tissue enhanced		cerebral cortex: 12.4	fallopian tube: 12.0	Cell line enhanced		BJ: 6.0;fHDF/TERT166: 15.2
CNTN4	BIG-2	ENSG00000144619	Contactin 4	3	2098813-3057956	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level						Renal cancer:1.00e-4 (favourable)	Mixed	Tissue enhanced		parathyroid gland: 48.7	testis: 24.3	Group enriched	6	BEWO: 8.1;CACO-2: 7.6;HEK 293: 5.1;SH-SY5Y: 18.0;WM-115: 5.6
CNTN5	hNB-2, NB-2	ENSG00000149972	Contactin 5	11	99020953-100358885	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA039492, HPA041223	Approved		Supported	Cytosol		Not detected	Tissue enhanced		cerebral cortex: 2.6;placenta: 3.4;thyroid gland: 3.0	fallopian tube: 1.8	Not detected		
CNTNAP2	Caspr2, KIAA0868, NRXN4	ENSG00000174469	Contactin associated protein-like 2	7	146116002-148420998	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA002739	Enhanced					Tissue enhanced	Group enriched	11	cerebral cortex: 17.9;prostate: 6.0	fallopian tube: 1.0	Cell line enhanced		AF22: 7.9;CACO-2: 5.7;NTERA-2: 11.9;SCLC-21H: 28.5
CNTNAP3	CASPR3, CNTNAP3A, FLJ14195, KIAA1714	ENSG00000106714	Contactin associated protein-like 3	9	39072767-39288315	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA047731	Uncertain					Mixed	Mixed			esophagus: 8.2	Cell line enhanced		A549: 17.0;AF22: 22.2;WM-115: 37.4
CNTNAP3B		ENSG00000154529	Contactin associated protein-like 3B	9	41890314-42129510	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA047731	Uncertain					Not detected	Mixed			esophagus,skin: 10.4	Cell line enhanced		A549: 27.0;AF22: 41.2;WM-115: 28.0
COASY	CoASY, DPCK, NBP, PPAT	ENSG00000068120	Coenzyme A synthase	17	42561467-42566277	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA022875, HPA022912, HPA023273	Approved		Approved	Nucleoplasm<br>Cytosol	Liver cancer:7.54e-5 (unfavourable), Endometrial cancer:2.15e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 60.1	Expressed in all		
COCH	COCH-5B2, DFNA31, DFNA9	ENSG00000100473	Cochlin	14	30874514-30895065	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA065086			Approved	Vesicles		Mixed	Group enriched	6	pancreas: 94.8;prostate: 79.0;seminal vesicle: 99.1	cervix, uterine: 15.4	Cell line enhanced		HEK 293: 92.9;K-562: 114.9;NB-4: 71.8;SCLC-21H: 130.1
COL10A1		ENSG00000123500	Collagen type X alpha 1 chain	6	116118923-116158747	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA053268			Approved	Endoplasmic reticulum		Tissue enhanced	Tissue enhanced		gallbladder: 14.5	ovary: 4.9	Cell line enriched	6	hTEC/SVTERT24-B: 39.7
COL11A2	DFNA13, DFNB53, HKE5	ENSG00000204248	Collagen type XI alpha 2 chain	6	33162681-33192499	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level							Tissue enriched	Tissue enhanced		testis: 1.2	cerebral cortex: 0.7	Not detected		
COL12A1	COL12A1L	ENSG00000111799	Collagen type XII alpha 1 chain	6	75084326-75206051	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA009143, HPA070695	Uncertain		Approved	Nucleus	Renal cancer:1.69e-9 (unfavourable)	Expressed in all	Mixed			endometrium: 113.7	Cell line enhanced		fHDF/TERT166: 1109.7;SiHa: 894.9
COL15A1		ENSG00000204291	Collagen type XV alpha 1 chain	9	98943179-99070792	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA017913, HPA017915	Enhanced		Approved	Endoplasmic reticulum	Urothelial cancer:3.08e-4 (unfavourable), Liver cancer:5.47e-4 (favourable)	Expressed in all	Tissue enhanced		placenta: 312.1	smooth muscle: 146.2	Cell line enhanced		BJ: 21.5;BJ hTERT+: 42.8;HDLM-2: 21.5;U-2197: 40.3;WM-115: 29.2
COL16A1		ENSG00000084636	Collagen type XVI alpha 1 chain	1	31652247-31704319	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA027235, HPA027237			Approved	Golgi apparatus<br>Plasma membrane<br>Cytosol	Renal cancer:4.00e-9 (unfavourable), Glioma:7.08e-4 (unfavourable)	Expressed in all	Mixed			ovary: 181.5	Cell line enhanced		ASC diff: 88.5;BJ hTERT+: 91.9;fHDF/TERT166: 81.2;U-2197: 87.0
COL18A1	KNO, KNO1, KS	ENSG00000182871	Collagen type XVIII alpha 1 chain	21	45405137-45513720	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB001961, HPA011025, HPA036104	Approved		Approved	Golgi apparatus	Liver cancer:6.16e-4 (favourable)	Expressed in all	Expressed in all			cervix, uterine: 144.0	Cell line enhanced		EFO-21: 290.7;NTERA-2: 173.6;TIME: 152.4
COL19A1		ENSG00000082293	Collagen type XIX alpha 1 chain	6	69866571-70209976	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA042422	Uncertain					Tissue enhanced	Tissue enhanced		lymph node: 3.2;tonsil: 2.9	spleen: 2.1	Cell line enhanced		HDLM-2: 5.2;RH-30: 13.4;SCLC-21H: 4.6;SK-MEL-30: 9.3;WM-115: 9.7
COL1A1	OI4	ENSG00000108821	Collagen type I alpha 1 chain	17	50183289-50201632	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA008405, HPA011795	Uncertain		Approved	Vesicles<br>Cytosol	Renal cancer:7.19e-12 (unfavourable), Lung cancer:4.43e-4 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 1872.5	Cell line enhanced		BJ: 2487.8;fHDF/TERT166: 3474.4;HSkMC: 1569.1;U-138 MG: 2286.9
COL1A2	OI4	ENSG00000164692	Collagen type I alpha 2 chain	7	94394561-94431232	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB032650, HPA059738	Approved		Supported	Endoplasmic reticulum	Renal cancer:1.51e-9 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 2950.1	Cell line enhanced		ASC diff: 2673.1;ASC TERT1: 3247.5;BJ: 3371.1;fHDF/TERT166: 10547.5;HSkMC: 2949.4
COL20A1	KIAA1510	ENSG00000101203	Collagen type XX alpha 1 chain	20	63293186-63334851	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA051962	Uncertain					Tissue enriched	Tissue enriched	7	cerebral cortex: 16.2	testis: 2.3	Not detected		
COL21A1		ENSG00000124749	Collagen type XXI alpha 1 chain	6	56056590-56394094	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA031212			Supported	Cytosol		Mixed	Tissue enhanced		cervix, uterine: 36.7;placenta: 39.0	endometrium: 19.6	Cell line enhanced		ASC TERT1: 15.7;BEWO: 7.2;HSkMC: 16.7
COL22A1		ENSG00000169436	Collagen type XXII alpha 1 chain	8	138588235-138914006	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA024830	Supported		Supported	Endoplasmic reticulum<br>Vesicles	Lung cancer:2.13e-6 (unfavourable), Glioma:3.62e-4 (unfavourable)	Mixed	Tissue enhanced		adrenal gland: 9.7	prostate: 4.8	Group enriched	5	HDLM-2: 27.1;RT4: 9.7;SCLC-21H: 9.4;U-2 OS: 6.9
COL24A1		ENSG00000171502	Collagen type XXIV alpha 1 chain	1	85729233-86156943	Predicted secreted proteins	Evidence at protein level							Mixed	Mixed			cervix, uterine: 3.5	Cell line enhanced		Karpas-707: 2.7;NTERA-2: 1.9;RH-30: 2.6;U-266/70: 5.3
COL26A1	EMI6, EMID2, Emu2	ENSG00000160963	Collagen type XXVI alpha 1 chain	7	101362820-101559024	Predicted secreted proteins	Evidence at protein level	HPA027059	Approved		Approved	Vesicles	Liver cancer:2.32e-5 (favourable)	Group enriched	Tissue enhanced		cerebral cortex: 10.2;parathyroid gland: 5.4	prostate: 3.1	Cell line enhanced		AF22: 29.3;BEWO: 22.8;HAP1: 10.9;NTERA-2: 25.1
COL27A1	FLJ11895, KIAA1870, MGC11337	ENSG00000196739	Collagen type XXVII alpha 1 chain	9	114155560-114312511	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA021884, HPA048471	Uncertain					Expressed in all	Mixed			endometrium: 39.8	Cell line enhanced		BEWO: 53.2;Hep G2: 33.0
COL28A1		ENSG00000215018	Collagen type XXVIII alpha 1 chain	7	7356203-7535853	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA043844, HPA060468	Uncertain		Approved	Nucleoplasm<br>Cytosol		Tissue enhanced	Tissue enhanced		epididymis: 18.2	fallopian tube: 8.0	Cell line enhanced		U-266/70: 7.6;WM-115: 4.8
COL2A1	AOM, SEDC, STL1	ENSG00000139219	Collagen type II alpha 1 chain	12	47972965-48004486	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	CAB002214, HPA055753	Supported		Approved	Nucleoplasm		Mixed	Group enriched	9	epididymis: 23.0;stomach: 6.2	prostate: 1.6	Group enriched	23	AF22: 154.1;HAP1: 101.9;HEK 293: 33.7
COL3A1	EDS4A	ENSG00000168542	Collagen type III alpha 1 chain	2	188974320-189012746	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA007583, CAB016766, CAB059993	Approved				Renal cancer:3.59e-10 (unfavourable)	Expressed in all	Tissue enhanced		cervix, uterine: 3796.7;gallbladder: 3334.2;smooth muscle: 3029.8	placenta: 2768.0	Cell line enhanced		AF22: 1344.2;ASC diff: 1690.4;ASC TERT1: 2979.5;fHDF/TERT166: 1406.5;HHSteC: 1419.6;HSkMC: 2318.4
COL4A1		ENSG00000187498	Collagen type IV alpha 1 chain	13	110148963-110307149	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB001695, HPA054039	Approved		Uncertain	Nucleoplasm<br>Cytosol	Renal cancer:1.30e-7 (unfavourable), Cervical cancer:4.67e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 1237.0	smooth muscle: 436.3	Cell line enhanced		ASC diff: 355.1;EFO-21: 845.9
COL4A2	DKFZp686I14213, FLJ22259	ENSG00000134871	Collagen type IV alpha 2 chain	13	110305812-110513027	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB010751, HPA029118	Enhanced		Supported	Vesicles	Renal cancer:3.49e-5 (unfavourable), Urothelial cancer:9.25e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 829.9	smooth muscle: 401.0	Cell line enhanced		EFO-21: 1032.9;WM-115: 470.6
COL4A3		ENSG00000169031	Collagen type IV alpha 3 chain	2	227164565-227314792	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA042064	Approved		Approved	Endoplasmic reticulum<br>Vesicles	Renal cancer:2.51e-7 (favourable)	Group enriched	Tissue enhanced		thyroid gland: 26.8	lung: 22.4	Cell line enhanced		HeLa: 10.8;Karpas-707: 7.1;RPTEC TERT1: 8.3;U-266/70: 6.7
COL4A5	ASLN, ATS	ENSG00000188153	Collagen type IV alpha 5 chain	X	108439844-108697545	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA065449			Uncertain	Lipid droplets	Renal cancer:2.41e-5 (unfavourable)	Expressed in all	Mixed			endometrium: 76.4	Cell line enhanced		HHSteC: 80.3;HUVEC TERT2: 76.9;SiHa: 73.2;TIME: 73.5
COL4A6		ENSG00000197565	Collagen type IV alpha 6 chain	X	108155607-108439497	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA065393			Approved	Endoplasmic reticulum		Mixed	Mixed			smooth muscle: 36.9	Cell line enhanced		HBEC3-KT: 32.9;HHSteC: 49.7;hTERT-HME1: 33.8;HUVEC TERT2: 34.7;TIME: 76.5
COL5A1		ENSG00000130635	Collagen type V alpha 1 chain	9	134641774-134844843	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA030769	Approved		Approved	Vesicles	Renal cancer:2.07e-12 (unfavourable)	Expressed in all	Mixed			cervix, uterine: 157.8	Cell line enhanced		BJ: 370.0;fHDF/TERT166: 317.6;SiHa: 305.8
COL5A2		ENSG00000204262	Collagen type V alpha 2 chain	2	189031896-189179879	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level						Renal cancer:1.53e-10 (unfavourable), Urothelial cancer:3.58e-4 (unfavourable), Lung cancer:5.37e-4 (unfavourable)	Expressed in all	Mixed			placenta: 154.0	Cell line enhanced		BJ hTERT+ SV40 Large T+: 407.0;BJ hTERT+ SV40 Large T+ RasG12V: 363.2;fHDF/TERT166: 325.7
COL5A3		ENSG00000080573	Collagen type V alpha 3 chain	19	9959561-10010471	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA048256	Approved				Renal cancer:7.17e-8 (unfavourable), Urothelial cancer:6.87e-5 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 47.7	adipose tissue: 30.9	Cell line enhanced		ASC TERT1: 27.4;BJ: 20.0;BJ hTERT+: 21.4;HSkMC: 20.6;WM-115: 25.9
COL6A1		ENSG00000142156	Collagen type VI alpha 1 chain	21	45981737-46005050	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA019142, HPA029401	Enhanced		Approved	Cytosol	Renal cancer:1.07e-8 (unfavourable), Urothelial cancer:4.54e-4 (unfavourable)	Expressed in all	Mixed			placenta: 401.2	Cell line enhanced		ASC TERT1: 1614.9;HHSteC: 849.5;HSkMC: 1234.5;U-138 MG: 1268.9
COL6A2		ENSG00000142173	Collagen type VI alpha 2 chain	21	46098097-46132849	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA007029, HPA030920, HPA038799	Enhanced		Approved	Plasma membrane<br>Cytosol	Renal cancer:8.72e-14 (unfavourable)	Expressed in all	Expressed in all			placenta: 472.0	Cell line enhanced		ASC TERT1: 1480.1;BJ: 903.2;HHSteC: 946.3;HSkMC: 1105.7;U-138 MG: 1108.3
COL6A3		ENSG00000163359	Collagen type VI alpha 3 chain	2	237324003-237414375	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA010080	Supported				Renal cancer:5.57e-11 (unfavourable)	Expressed in all	Tissue enhanced		smooth muscle: 557.1	gallbladder: 375.3	Cell line enhanced		ASC diff: 2271.2;ASC TERT1: 2960.3;BJ hTERT+: 1039.3;HSkMC: 1966.4
COL6A5	COL29A1, FLJ35880, VWA4	ENSG00000172752	Collagen type VI alpha 5 chain	3	130345516-130484844	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	HPA043138	Uncertain					Not detected	Group enriched	6	lung: 3.8;skin: 7.4	duodenum,stomach: 0.9	Cell line enriched	73	HDLM-2: 14.7
COL6A6		ENSG00000206384	Collagen type VI alpha 6 chain	3	130560334-130678155	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA045239	Uncertain					Tissue enhanced	Tissue enhanced		lung: 11.2	breast: 2.9	Not detected		
COL7A1	EBD1, EBDCT, EBR1	ENSG00000114270	Collagen type VII alpha 1 chain	3	48564073-48595267	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB016357, HPA042420	Enhanced				Pancreatic cancer:3.86e-4 (unfavourable), Head and neck cancer:6.31e-4 (favourable)	Expressed in all	Tissue enriched	6	skin: 114.5	endometrium,prostate: 20.1	Cell line enhanced		HBEC3-KT: 71.5;HDLM-2: 89.9;HeLa: 81.8;SiHa: 86.9
COL8A1	C3orf7, MGC9568	ENSG00000144810	Collagen type VIII alpha 1 chain	3	99638475-99799226	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA053107	Enhanced		Supported	Vesicles	Renal cancer:9.39e-8 (unfavourable)	Expressed in all	Tissue enhanced		parathyroid gland: 87.4	lung: 56.9	Cell line enhanced		fHDF/TERT166: 930.0;LHCN-M2: 289.1;TIME: 423.8
COL8A2	FECD, FECD1, PPCD, PPCD2	ENSG00000171812	Collagen type VIII alpha 2 chain	1	36095236-36125220	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA049788	Uncertain		Uncertain	Golgi apparatus	Renal cancer:9.35e-5 (unfavourable), Ovarian cancer:7.26e-4 (unfavourable), Head and neck cancer:9.44e-4 (favourable)	Expressed in all	Mixed			placenta: 18.2	Cell line enhanced		BJ: 4.9;fHDF/TERT166: 3.3;HHSteC: 11.8
COL9A1		ENSG00000112280	Collagen type IX alpha 1 chain	6	70215061-70303083	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA074749	Supported					Mixed	Tissue enriched	6	prostate: 31.4	testis: 5.1	Group enriched	6	AF22: 27.0;NTERA-2: 9.9
COL9A2	EDM2, MED	ENSG00000049089	Collagen type IX alpha 2 chain	1	40300487-40317816	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA056316, HPA075286	Approved		Approved	Nucleus<br>Vesicles	Endometrial cancer:5.13e-4 (unfavourable)	Expressed in all	Tissue enhanced		parathyroid gland: 53.4	seminal vesicle: 32.4	Cell line enhanced		HDLM-2: 91.5;HMC-1: 79.4;THP-1: 69.5
COL9A3	DJ885L7.4.1, EDM3, FLJ90759, IDD, MED	ENSG00000092758	Collagen type IX alpha 3 chain	20	62816244-62841159	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA040125, HPA058323	Supported		Approved	Nucleoplasm<br>Intermediate filaments		Mixed	Group enriched	6	cerebral cortex: 7.5;salivary gland: 10.5;testis: 6.3;thyroid gland: 19.1	seminal vesicle: 1.8	Group enriched	6	BEWO: 139.2;Hep G2: 40.1;SK-MEL-30: 37.9;WM-115: 57.3
COLEC10	CL-L1	ENSG00000184374	Collectin subfamily member 10	8	118995452-119106582	Plasma proteins, Predicted secreted proteins	Evidence at protein level						Liver cancer:5.79e-4 (favourable)	Mixed	Group enriched	8	liver: 51.2;placenta: 26.0	thyroid gland: 5.0	Group enriched	6	BJ hTERT+: 5.2;HHSteC: 2.1;SK-BR-3: 8.4
COLEC11	CL-K1, MGC3279	ENSG00000118004	Collectin subfamily member 11	2	3594832-3644644	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA035241	Approved					Tissue enhanced	Tissue enhanced		gallbladder: 102.0	adrenal gland: 36.2	Group enriched	8	HHSteC: 135.6;SH-SY5Y: 158.1
COLGALT1	FLJ22329, GLT25D1	ENSG00000130309	Collagen beta(1-O)galactosyltransferase 1	19	17555594-17583162	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA047821	Approved		Approved	Vesicles	Renal cancer:0.00e+0 (unfavourable), Liver cancer:1.65e-5 (unfavourable), Pancreatic cancer:1.92e-4 (unfavourable), Urothelial cancer:3.83e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 58.0	Expressed in all		
COLGALT2	C1orf17, GLT25D2, KIAA0584	ENSG00000198756	Collagen beta(1-O)galactosyltransferase 2	1	183929854-184037729	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA031749, HPA031750	Approved		Approved	Nucleus<br>Vesicles		Tissue enhanced	Tissue enriched	5	cerebral cortex: 46.4	prostate: 8.8	Cell line enhanced		Hep G2: 11.7;SK-MEL-30: 14.3;U-251 MG: 14.6;WM-115: 22.1
COLQ	EAD	ENSG00000206561	Collagen like tail subunit of asymmetric acetylcholinesterase	3	15450133-15521751	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA045876			Approved	Plasma membrane<br>Cell Junctions		Mixed	Tissue enhanced		parathyroid gland: 19.4	fallopian tube: 17.6	Cell line enhanced		BEWO: 13.9;HDLM-2: 4.5;U-937: 5.9
