"Gene","Plate number","Well number","Clone ID","ORF_length","Trans_mem_ref_acc","Other_acc","Definition","Accession","Protein","LocusLink ID","Unigene ID","Gene synonym","Ensembl","Gene description","Chromosome","Position","Protein class","Evidence","Antibody","Reliability (IH)","Reliability (Mouse Brain)","Reliability (IF)","Subcellular location","Prognostic p-value","RNA cancer category","RNA tissue category","RNA TS","RNA TS TPM","TPM max in non-specific","RNA cell line category","RNA CS","RNA CS TPM"
"CPE",87,"H6","IOH21845",1431,"0",NA,"carboxypeptidase E (CPE), mRNA.","NM_001873.2","NP_001864.1",1363,"Hs.75360",NA,"ENSG00000109472","Carboxypeptidase E","4","165361194-165498320","Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA003819, CAB024907","Supported",NA,"Approved","Nucleoplasm<br>Vesicles<br>Centrosome","Urothelial cancer:2.12e-4 (unfavourable), Renal cancer:2.60e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"cerebral cortex: 1560.8","Group enriched",5,"Hep G2: 211.8;SCLC-21H: 493.5;SH-SY5Y: 147.0;SiHa: 668.1"
"CPM",86,"C7","IOH12912",1332,"0",NA,"carboxypeptidase M (CPM), transcript variant 3, mRNA.","NM_001005502.2","NP_001005502.1",1368,"Hs.654387",NA,"ENSG00000135678","Carboxypeptidase M","12","68842197-68971570","Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA002657, HPA077243","Uncertain",NA,"Uncertain","Vesicles","Endometrial cancer:1.00e-4 (favourable)","Expressed in all","Tissue enhanced",NA,"adipose tissue: 164.0","placenta: 101.2","Cell line enhanced",NA,"ASC diff: 48.8;ASC TERT1: 35.1;HSkMC: 66.3;SiHa: 73.7"
"CPN1",54,"H3","IOH11355",1377,"0",NA,"carboxypeptidase N, polypeptide 1 (CPN1), mRNA.","NM_001308.2","NP_001299.1",1369,"Hs.2246",NA,"ENSG00000120054","Carboxypeptidase N subunit 1","10","100042193-100081877","Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA040323",NA,NA,"Approved","Nucleus<br>Nucleoli",NA,"Group enriched","Tissue enriched",22,"liver: 37.1","testis: 1.7","Cell line enriched",16,"SK-MEL-30: 110.4"
"CPVL",29,"G10","IOH10663",1431,"0",NA,"carboxypeptidase, vitellogenic-like, mRNA (cDNA clone MGC:10029 IMAGE:3888647), complete cds","BC016838.2","AAH16838.1",54504,"Hs.233389",NA,"ENSG00000106066","Carboxypeptidase, vitellogenic like","7","28995231-29195451","Enzymes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB003697, HPA045715, HPA056466","Enhanced",NA,"Supported","Endoplasmic reticulum","Endometrial cancer:8.56e-6 (unfavourable), Urothelial cancer:4.99e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"spleen: 301.8","Cell line enhanced",NA,"BEWO: 183.9;RPTEC TERT1: 604.1"
"CPXM1",157,"H12","IOH61540",2205,"0",NA,"carboxypeptidase X (M14 family), member 1, mRNA (cDNA clone MGC:74418 IMAGE:5239864), complete cds","BC063430.1","AAH63430.1",56265,"Hs.659346","CPX-1, CPX1, CPXM","ENSG00000088882","Carboxypeptidase X, M14 family member 1","20","2794069-2800637","Enzymes, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Renal cancer:4.62e-10 (unfavourable)","Expressed in all","Tissue enhanced",NA,"endometrium: 130.4;gallbladder: 132.2","urinary bladder: 75.0","Group enriched",5,"AF22: 158.5;HSkMC: 62.0;NB-4: 92.9;NTERA-2: 34.2;REH: 136.3;SH-SY5Y: 113.9"
"CRELD1",130,"F6","IOH57815",1263,"NP_056328.2","NP_056328.2","cysteine-rich with EGF-like domains 1 (CRELD1), transcript variant 2, mRNA.","NM_015513.3","NP_056328.2",78987,"Hs.9383","AVSD2","ENSG00000163703","Cysteine rich with EGF like domains 1","3","9933822-9945413","Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA026964","Uncertain",NA,"Approved","Nucleoli<br>Cytosol","Glioma:6.05e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"thyroid gland: 65.6","Expressed in all",NA,NA
"CRELD1",29,"C1","IOH6530",1269,"0",NA,"cysteine-rich with EGF-like domains 1 (CRELD1), transcript variant 1, mRNA.","NM_001031717.2","NP_001026887.1",78987,"Hs.9383","AVSD2","ENSG00000163703","Cysteine rich with EGF like domains 1","3","9933822-9945413","Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA026964","Uncertain",NA,"Approved","Nucleoli<br>Cytosol","Glioma:6.05e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"thyroid gland: 65.6","Expressed in all",NA,NA
"CRELD2",126,"E9","IOH5701",966,"0",NA,"cysteine-rich with EGF-like domains 2, mRNA (cDNA clone MGC:11256 IMAGE:3941590), complete cds","BC002894.1","AAH02894.1",79174,"Hs.211282","MGC11256","ENSG00000184164","Cysteine rich with EGF like domains 2","22","49918167-49927540","Predicted secreted proteins","Evidence at protein level","HPA000603, CAB025604","Approved",NA,NA,NA,"Renal cancer:1.34e-9 (unfavourable), Endometrial cancer:2.42e-7 (favourable)","Expressed in all","Expressed in all",NA,NA,"thyroid gland: 94.2","Expressed in all",NA,NA
"CRH",37,"D11","IOH4131",591,"0",NA,"corticotropin releasing hormone (CRH), mRNA.","NM_000756.1","NP_000747.1",1392,"Hs.75294","CRF, CRH1","ENSG00000147571","Corticotropin releasing hormone","8","66176382-66178725","Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA046846, HPA062111","Uncertain","Supported",NA,NA,NA,"Tissue enriched","Tissue enhanced",NA,"cerebral cortex: 2.1;placenta: 8.0","adipose tissue: 1.2","Not detected",NA,NA
"CRHBP",87,"G5","IOH11163",969,"0",NA,"corticotropin releasing hormone binding protein (CRHBP), mRNA.","NM_001882.3","NP_001873.2",1393,"Hs.115617","CRF-BP, CRFBP","ENSG00000145708","Corticotropin releasing hormone binding protein","5","76952713-76981158","Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA046120","Approved",NA,NA,NA,NA,"Tissue enhanced","Tissue enhanced",NA,"liver: 69.9;spleen: 42.2","kidney: 30.2","Cell line enhanced",NA,"BJ hTERT+ SV40 Large T+: 3.2;BJ hTERT+ SV40 Large T+ RasG12V: 3.3;HBF TERT88: 6.0;U-698: 4.8;U-87 MG: 3.6;WM-115: 3.2"
"CRHR1",77,"H6","IOH39398",1248,"NP_004373.2","NP_004373.2","corticotropin releasing hormone receptor 1 (CRHR1), transcript variant 2, mRNA.","NM_004382.4","NP_004373.2",1394,"Hs.417628","CRF-R, CRF1, CRHR","ENSG00000120088","Corticotropin releasing hormone receptor 1","17","45784280-45835828","FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins, Transporters","Evidence at protein level","CAB025251","Approved",NA,NA,NA,NA,"Mixed","Tissue enhanced",NA,"cerebral cortex: 4.0","endometrium: 0.8","Cell line enhanced",NA,"RT4: 2.7;SH-SY5Y: 2.2"
"CRHR2",102,"D5","IOH29569",1236,"0",NA,"corticotropin releasing hormone receptor 2 (CRHR2), mRNA.","NM_001883.3","NP_001874.2",1395,"Hs.546246","CRF-RB, CRF2, HM-CRF","ENSG00000106113","Corticotropin releasing hormone receptor 2","7","30651943-30700129","G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA046683","Uncertain",NA,NA,NA,NA,"Not detected","Tissue enhanced",NA,"seminal vesicle: 1.7","cerebral cortex: 1.2","Not detected",NA,NA
"CRISP1",139,"C11","IOH59798",750,"0",NA,"cysteine-rich secretory protein 1 (CRISP1), transcript variant 1, mRNA.","NM_001131.2","NP_001122.2",167,"Hs.109620","AEGL1, ARP, CRISP-1, HSCRISP1D, HSCRISP1G, HUMARP","ENSG00000124812","Cysteine rich secretory protein 1","6","49834257-49877096","Predicted secreted proteins","Evidence at protein level","HPA028445, HPA030534","Enhanced",NA,NA,NA,NA,"Not detected","Tissue enriched",20,"epididymis: 1915.6","seminal vesicle: 96.7","Cell line enhanced",NA,"NB-4: 1.7"
"CRISPLD2",45,"H4","IOH6278",363,"0",NA,"cysteine-rich secretory protein LCCL domain containing 2, mRNA (cDNA clone IMAGE:3953885), complete cds.","BC007689.2","AAH07689.1",83716,"Hs.513779","DKFZP434B044, LCRISP2, LGL1","ENSG00000103196","Cysteine rich secretory protein LCCL domain containing 2","16","84819984-84920768","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA030054, HPA030055","Approved",NA,"Approved","Nucleus<br>Nucleoli","Renal cancer:1.97e-6 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"placenta: 174.3","Cell line enhanced",NA,"BEWO: 66.9;HHSteC: 135.7;HSkMC: 49.5"
"CRISPLD2",157,"C9","IOH61545",1350,"0",NA,"cysteine-rich secretory protein LCCL domain containing 2, mRNA (cDNA clone MGC:74865 IMAGE:5217820), complete cds","BC063012.1","AAH63012.1",83716,"Hs.513779","DKFZP434B044, LCRISP2, LGL1","ENSG00000103196","Cysteine rich secretory protein LCCL domain containing 2","16","84819984-84920768","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA030054, HPA030055","Approved",NA,"Approved","Nucleus<br>Nucleoli","Renal cancer:1.97e-6 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"placenta: 174.3","Cell line enhanced",NA,"BEWO: 66.9;HHSteC: 135.7;HSkMC: 49.5"
"CRLF1",133,"F8","IOH57263",1269,"0",NA,"cytokine receptor-like factor 1 (CRLF1), mRNA.","NM_004750.3","NP_004741.1",9244,"Hs.114948","CISS, CISS1, CLF, CLF-1","ENSG00000006016","Cytokine receptor like factor 1","19","18572220-18607741","Disease related genes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA041493, HPA041793","Approved",NA,NA,NA,"Renal cancer:3.96e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"cerebral cortex: 17.2;placenta: 16.8","adipose tissue: 10.1","Group enriched",8,"ASC diff: 706.3;Hep G2: 309.6"
"CRTAC1",32,"E4","IOH21411",1356,"0",NA,"cartilage acidic protein 1, mRNA (cDNA clone MGC:16989 IMAGE:4178363), complete cds","BC034245.1","AAH34245.1",55118,"Hs.500736","ASPIC1, CEP-68, FLJ10320","ENSG00000095713","Cartilage acidic protein 1","10","97865000-98030828","Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA008175","Enhanced",NA,NA,NA,"Endometrial cancer:5.01e-6 (unfavourable), Urothelial cancer:1.51e-4 (favourable), Renal cancer:1.85e-4 (favourable)","Tissue enhanced","Tissue enhanced",NA,"cerebral cortex: 51.0;fallopian tube: 63.6;lung: 76.3;seminal vesicle: 48.1","urinary bladder: 12.8","Cell line enhanced",NA,"HUVEC TERT2: 6.0;SCLC-21H: 5.6;SK-MEL-30: 6.3;TIME: 8.0"
"CRY2",74,"D3","IOH27709",1782,"0",NA,"cryptochrome 2 (photolyase-like), mRNA (cDNA clone MGC:43402 IMAGE:5266781), complete cds","BC041814.1","AAH41814.1",1408,"Hs.532491",NA,"ENSG00000121671","Cryptochrome circadian clock 2","11","45847118-45883248","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA037577","Supported",NA,"Supported","Nuclear speckles<br>Cytosol","Renal cancer:6.44e-15 (favourable), Liver cancer:6.82e-5 (favourable), Colorectal cancer:1.67e-4 (unfavourable), Pancreatic cancer:4.39e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"cerebral cortex: 56.2","Expressed in all",NA,NA
"CRY2",147,"G5","IOH62260",1386,"0",NA,"cryptochrome 2 (photolyase-like), mRNA (cDNA clone MGC:43304 IMAGE:5265444), complete cds","BC035161.1","AAH35161.1",1408,"Hs.532491",NA,"ENSG00000121671","Cryptochrome circadian clock 2","11","45847118-45883248","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA037577","Supported",NA,"Supported","Nuclear speckles<br>Cytosol","Renal cancer:6.44e-15 (favourable), Liver cancer:6.82e-5 (favourable), Colorectal cancer:1.67e-4 (unfavourable), Pancreatic cancer:4.39e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"cerebral cortex: 56.2","Expressed in all",NA,NA
"CSF1",105,"D1","IOH43696",771,"0",NA,"colony stimulating factor 1 (macrophage) (CSF1), transcript variant 3, mRNA.","NM_172211.2","NP_757350.1",1435,"Hs.591402","M-CSF, MCSF, MGC31930","ENSG00000184371","Colony stimulating factor 1","1","109910242-109930992","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Renal cancer:1.00e-11 (unfavourable), Liver cancer:4.25e-5 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"adipose tissue: 66.6","Cell line enhanced",NA,"ASC diff: 146.1;HHSteC: 271.2;HSkMC: 150.5"
"CSF1",83,"F5","IOH13347",1665,"NP_757349.1","NP_000748.3","colony stimulating factor 1 (macrophage) (CSF1), transcript variant 1, mRNA.","NM_000757.4","NP_000748.3",1435,"Hs.591402","M-CSF, MCSF, MGC31930","ENSG00000184371","Colony stimulating factor 1","1","109910242-109930992","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Renal cancer:1.00e-11 (unfavourable), Liver cancer:4.25e-5 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"adipose tissue: 66.6","Cell line enhanced",NA,"ASC diff: 146.1;HHSteC: 271.2;HSkMC: 150.5"
"CSF2",151,"C2","IOH44352",435,"0",NA,"colony stimulating factor 2 (granulocyte-macrophage) (CSF2), mRNA.","NM_000758.2","NP_000749.2",1437,"Hs.1349","GM-CSF, GMCSF","ENSG00000164400","Colony stimulating factor 2","5","132073790-132076170","Cancer-related genes, Predicted secreted proteins","Evidence at protein level","HPA057404, HPA062006",NA,NA,"Enhanced","Vesicles",NA,"Mixed","Tissue enhanced",NA,"lung: 3.0","urinary bladder: 0.9","Cell line enhanced",NA,"BJ hTERT+: 74.1;hTEC/SVTERT24-B: 20.9"
"CSF2RA",42,"H7","IOH5253",1203,"0",NA,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage) (CSF2RA), transcript variant 1, mRNA.","NM_006140.4","NP_006131.2",1438,"Hs.520937","CD116, CSF2R","ENSG00000198223","Colony stimulating factor 2 receptor alpha subunit","X","1268800-1310381","Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","CAB016148","Uncertain",NA,NA,NA,"Cervical cancer:2.38e-5 (favourable), Head and neck cancer:2.81e-4 (favourable), Testis cancer:5.53e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"placenta: 93.3","appendix: 34.6","Group enriched",8,"BEWO: 187.1;HMC-1: 51.2;SK-MEL-30: 109.5"
"CSF3",139,"B12","IOH59727",624,"0",NA,"colony stimulating factor 3 (granulocyte) (CSF3), transcript variant 1, mRNA.","NM_000759.2","NP_000750.1",1440,"Hs.2233","C17orf33, G-CSF, GCSF, MGC45931","ENSG00000108342","Colony stimulating factor 3","17","40015361-40017813","Cancer-related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Endometrial cancer:8.45e-4 (favourable)","Mixed","Tissue enhanced",NA,"appendix: 19.1;cervix, uterine: 38.2","adipose tissue: 10.3","Cell line enhanced",NA,"BJ hTERT+: 57.2;hTEC/SVTERT24-B: 34.2;U-87 MG: 265.0"
"CSH1",49,"E7","IOH5369",654,"0",NA,"chorionic somatomammotropin hormone 1 (placental lactogen) (CSH1), transcript variant 1, mRNA.","NM_001317.3","NP_001308.1",1442,"Hs.654390","CSA, CSMT, FLJ75407, hCS-A, PL","ENSG00000136488","Chorionic somatomammotropin hormone 1","17","63894909-63896661","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB026374, HPA043715","Enhanced",NA,NA,NA,NA,"Tissue enriched","Tissue enriched",211,"placenta: 13487.0","smooth muscle: 63.9","Cell line enriched",6,"BEWO: 11.1"
"CSH1",139,"C6","IOH58682",369,"0",NA,"chorionic somatomammotropin hormone 1 (placental lactogen) (CSH1), transcript variant 3, mRNA.","NM_022641.2","NP_072167.1",1442,"Hs.654390","CSA, CSMT, FLJ75407, hCS-A, PL","ENSG00000136488","Chorionic somatomammotropin hormone 1","17","63894909-63896661","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB026374, HPA043715","Enhanced",NA,NA,NA,NA,"Tissue enriched","Tissue enriched",211,"placenta: 13487.0","smooth muscle: 63.9","Cell line enriched",6,"BEWO: 11.1"
"CSH1",118,"H5","IOH29152",654,"0",NA,"chorionic somatomammotropin hormone 1 (placental lactogen), mRNA (cDNA clone MGC:71529 IMAGE:30337725), complete cds","BC057768.1","AAH57768.1",1442,"Hs.654390","CSA, CSMT, FLJ75407, hCS-A, PL","ENSG00000136488","Chorionic somatomammotropin hormone 1","17","63894909-63896661","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB026374, HPA043715","Enhanced",NA,NA,NA,NA,"Tissue enriched","Tissue enriched",211,"placenta: 13487.0","smooth muscle: 63.9","Cell line enriched",6,"BEWO: 11.1"
"CSH2",60,"G5","IOH27937",654,"0",NA,"chorionic somatomammotropin hormone 2 (CSH2), transcript variant 1, mRNA.","NM_020991.3","NP_066271.1",1443,"Hs.654390","CS-2, CSB, hCS-B","ENSG00000213218","Chorionic somatomammotropin hormone 2","17","63872012-63873766","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA043715","Supported",NA,NA,NA,NA,"Tissue enhanced","Tissue enriched",193,"placenta: 3932.3","smooth muscle: 20.4","Cell line enriched",27,"BEWO: 7.7"
"CSHL1",86,"E10","IOH23169",387,"0",NA,"chorionic somatomammotropin hormone-like 1 (CSHL1), transcript variant 3, mRNA.","NM_001318.2","NP_001309.3",1444,"Hs.655225","CS-5, CSHP1, CSL, hCS-L, MGC149868","ENSG00000204414","Chorionic somatomammotropin hormone like 1","17","63909597-63918838","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB025646, HPA043715","Enhanced",NA,NA,NA,NA,"Not detected","Tissue enriched",352,"placenta: 216.7","smooth muscle: 0.6","Not detected",NA,NA
"CSN1S1",108,"D6","IOH44412",558,"0",NA,"casein alpha s1 (CSN1S1), transcript variant 1, mRNA.","NM_001890.1","NP_001881.1",1446,"Hs.3155","CASA, CSN1","ENSG00000126545","Casein alpha s1","4","69931081-69946574","Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA035659, HPA057031","Enhanced",NA,NA,NA,NA,"Tissue enriched","Tissue enriched",85,"breast: 1600.9","adipose tissue: 18.9","Not detected",NA,NA
"CSN3",10,"H4","IOH12932",549,"0",NA,"casein kappa, mRNA (cDNA clone MGC:13553 IMAGE:4279903), complete cds","BC010935.1","AAH10935.1",1448,"Hs.54415","CSN10","ENSG00000171209","Casein kappa","4","70242588-70251428","Predicted secreted proteins","Evidence at protein level","HPA035953, HPA035954","Enhanced",NA,NA,NA,NA,"Group enriched","Tissue enriched",13,"breast: 428.0","salivary gland: 32.0","Not detected",NA,NA
"CST1",16,"D9","IOH14329",426,"0",NA,"cystatin SN (CST1), mRNA.","NM_001898.2","NP_001889.2",1469,"Hs.123114",NA,"ENSG00000170373","Cystatin SN","20","23747553-23751268","Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB026769, HPA043706, HPA044763","Enhanced",NA,NA,NA,"Breast cancer:4.00e-4 (favourable)","Mixed","Tissue enriched",27,"salivary gland: 9590.6","gallbladder: 352.0","Cell line enhanced",NA,"CACO-2: 139.8;RT4: 891.2;TIME: 178.3"
"CST2",93,"E5","IOH40727",426,"0",NA,"cystatin SA (CST2), mRNA.","NM_001322.2","NP_001313.1",1470,"Hs.669305",NA,"ENSG00000170369","Cystatin SA","20","23823769-23826731","Predicted secreted proteins","Evidence at protein level","CAB024963, HPA043706, HPA044763","Enhanced",NA,NA,NA,NA,"Mixed","Tissue enriched",281,"salivary gland: 2052.3","gallbladder: 7.3","Cell line enriched",13,"RT4: 53.8"
"CST3",83,"D12","IOH10287",441,"0",NA,"cystatin C (CST3), mRNA.","NM_000099.2","NP_000090.1",1471,"Hs.304682",NA,"ENSG00000101439","Cystatin C","20","23626706-23638473","Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB000118, HPA013143","Enhanced",NA,"Supported","Golgi apparatus<br>Vesicles","Endometrial cancer:1.83e-4 (favourable), Urothelial cancer:8.77e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"cerebral cortex: 1265.8","Cell line enhanced",NA,"ASC diff: 1105.8"
"CST4",93,"H4","IOH40718",426,"0",NA,"cystatin S (CST4), mRNA.","NM_001899.2","NP_001890.1",1472,"Hs.654549",NA,"ENSG00000101441","Cystatin S","20","23685640-23689040","Predicted secreted proteins","Evidence at protein level","HPA043706, HPA044763","Supported",NA,NA,NA,"Ovarian cancer:4.98e-5 (unfavourable), Urothelial cancer:2.88e-4 (favourable)","Mixed","Tissue enriched",113,"salivary gland: 9926.9","gallbladder: 87.6","Cell line enhanced",NA,"CACO-2: 4.5;hTEC/SVTERT24-B: 2.1;RT4: 10.7;TIME: 1.8"
"CST5",97,"B12","IOH40728",429,"0",NA,"cystatin D (CST5), mRNA.","NM_001900.4","NP_001891.2",1473,"Hs.121489",NA,"ENSG00000170367","Cystatin D","20","23875935-23879750","Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB024944, HPA061449","Enhanced",NA,NA,NA,NA,"Tissue enriched","Tissue enriched",363,"salivary gland: 756.2","lung,smooth muscle: 2.0","Not detected",NA,NA
"CST6",116,"B12","IOH23279",450,"0",NA,"cystatin E/M (CST6), mRNA.","NM_001323.2","NP_001314.1",1474,"Hs.139389",NA,"ENSG00000175315","Cystatin E/M","11","66011841-66013505","Cancer-related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB019316, HPA044963","Enhanced",NA,"Approved","Plasma membrane<br>Cytosol",NA,"Tissue enhanced","Tissue enriched",9,"skin: 213.2","breast: 24.9","Group enriched",6,"A-431: 83.9;CAPAN-2: 228.1"
"CST7",49,"D1","IOH9888",504,"0",NA,"cystatin F (leukocystatin) (CST7), mRNA.","NM_003650.2","NP_003641.2",8530,"Hs.143212",NA,"ENSG00000077984","Cystatin F","20","24949230-24959928","Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA040442","Enhanced",NA,NA,NA,"Renal cancer:4.37e-6 (unfavourable), Endometrial cancer:9.17e-6 (favourable), Head and neck cancer:5.85e-5 (favourable), Breast cancer:6.55e-4 (favourable), Cervical cancer:7.90e-4 (favourable)","Expressed in all","Tissue enriched",9,"bone marrow: 642.9","spleen: 74.1","Group enriched",19,"HL-60: 58.5;HMC-1: 170.9;NB-4: 126.6;U-937: 278.1"
"CST9L",52,"C4","IOH22863",444,"0",NA,"cystatin 9-like (CST9L), mRNA.","NM_080610.2","NP_542177.1",128821,"Hs.121554","bA218C14.1, CTES7B","ENSG00000101435","Cystatin 9-like","20","23564732-23568749","Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Tissue enhanced","Tissue enriched",6,"testis: 108.4","epididymis: 19.6","Cell line enriched",13,"HEL: 1.2"
"CTBS",106,"F2","IOH41275",1158,"0",NA,"chitobiase, di-N-acetyl- (CTBS), mRNA.","NM_004388.2","NP_004379.1",1486,"Hs.513557","CTB","ENSG00000117151","Chitobiase","1","84549606-84574480","Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB017043, HPA023594, HPA048810","Approved",NA,"Uncertain","Cytosol",NA,"Expressed in all","Mixed",NA,NA,"epididymis: 3.8","Mixed",NA,NA
"CTHRC1",36,"F12","IOH14338",732,"0",NA,"collagen triple helix repeat containing 1 (CTHRC1), mRNA.","NM_138455.2","NP_612464.1",115908,"Hs.405614",NA,"ENSG00000164932","Collagen triple helix repeat containing 1","8","103371515-103382997","Disease related genes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA059806, HPA061896","Approved",NA,"Approved","Nucleoplasm","Renal cancer:1.22e-14 (unfavourable), Liver cancer:1.67e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"gallbladder: 137.8;placenta: 125.5;urinary bladder: 100.0","breast: 49.2","Cell line enhanced",NA,"ASC TERT1: 202.9;HHSteC: 162.6;HSkMC: 291.0;WM-115: 375.8"
"CTNS",131,"D9","IOH57640",1104,"0",NA,"Cystinosin.","O60931","O60931",1497,"Hs.187667","CTNS-LSB, PQLC4","ENSG00000040531","Cystinosin, lysosomal cystine transporter","17","3636468-3661542","Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters","Evidence at protein level","HPA046947",NA,NA,"Supported","Vesicles<br>Intermediate filaments","Pancreatic cancer:6.39e-5 (favourable), Head and neck cancer:7.33e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"testis: 42.6","Expressed in all",NA,NA
"CTNS",79,"A12","IOH27166",1203,"NP_004928.1","AAH32850.1","cystinosis, nephropathic, mRNA (cDNA clone MGC:33097 IMAGE:5268683), complete cds","BC032850.2","AAH32850.1",1497,"Hs.187667","CTNS-LSB, PQLC4","ENSG00000040531","Cystinosin, lysosomal cystine transporter","17","3636468-3661542","Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters","Evidence at protein level","HPA046947",NA,NA,"Supported","Vesicles<br>Intermediate filaments","Pancreatic cancer:6.39e-5 (favourable), Head and neck cancer:7.33e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"testis: 42.6","Expressed in all",NA,NA
"CTRB1",21,"A5","IOH7194",792,"0",NA,"chymotrypsinogen B1, mRNA (cDNA clone MGC:12508 IMAGE:3950220), complete cds","BC005385.1","AAH05385.1",1504,"Hs.610926","CTRB","ENSG00000168925","Chymotrypsinogen B1","16","75219000-75224924","Enzymes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at transcript level",NA,NA,NA,NA,NA,NA,"Tissue enriched","Tissue enriched",376,"pancreas: 48923.8","ovary: 130.0","Cell line enhanced",NA,"EFO-21: 2.9;HDLM-2: 2.3;U-2 OS: 2.4;U-266/84: 1.0"
"CTRC",45,"B2","IOH12105",807,"0",NA,"chymotrypsin C (caldecrin) (CTRC), mRNA.","NM_007272.2","NP_009203.2",11330,"Hs.631869","CLCR, ELA4","ENSG00000162438","Chymotrypsin C","1","15438439-15449242","Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins","Evidence at protein level","HPA046920","Enhanced",NA,NA,NA,NA,"Tissue enriched","Tissue enriched",361,"pancreas: 18186.4","ovary: 50.3","Not detected",NA,NA
